Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
EDUCATED GUESS 11-1H,S505,MWRY,core,104.131,8.8336,11.77,1,10511.2,0.91,0.09,2.15,0.15,443,236,16,2.24,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,174.7944,10.9247,16.5,1,10663.7,1.14,0.14,3.9,0.21,445,342,25,4.04,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,175.932,10.0063,18.57,1,10644.7,2.47,0.27,8.36,0.18,440,338,7,8.63,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,146.3353,13.1522,19.1,1,10643.1,2.4,0.28,8.83,0.23,441,368,10,9.11,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,130.1142,23.2934,15.37,1,10604.4,0.36,0.08,0.52,0.28,443,254,8,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,142.4117,10.9485,17.16,1,10571.4,1.52,0.1,4.79,0.3,445,315,20,4.89,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,129.6184,21.6216,19.19,1,10607.8,2.43,0.16,9.24,0.3,444,380,12,9.4,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,157.6835,12.0433,19.21,1,10635.6,2.47,0.18,9.14,0.22,441,370,9,9.32,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,160.957,14.1393,19.81,1,10630.6,2.06,0.14,5.42,0.23,443,263,11,5.56,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,212.5262,4.1598,19.41,1,10615.5,4,0.12,23.42,0.35,441,586,9,23.54,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,142.4117,10.9485,17.16,1,10571.4,1.52,0.18,4.79,0.3,445,315,20,4.89,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,150.9407,19.0939,19.64,1,10638.8,2.16,0.25,7.52,0.17,442,348,8,7.77,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,142.4476,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.22,445,353,9,8.34,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4613,13.6618,18.21,1,10651.7,2.36,0.25,7.22,0.18,442,306,8,7.47,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,137.4531,14.4324,17.4,1,10633.7,1.14,0.19,3.21,0.24,443,310,10,3.22,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,120.0979,14.0496,18.03,1,10618.5,2.62,0.21,11.65,0.2,443,445,8,11.86,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,156.984,15.5351,19.78,1,10626.8,4.45,0.17,17.86,0.31,440,401,7,18.03,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,158.4774,11.4337,18.88,1,10654.8,1.81,0.22,5.64,0.18,443,256,10,4.86,0.05
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,13.03090728,1,12674,2.46,0.7,1.11,0.25,455,45,10,1.81,0.39
Schuster Flats 14-27-47-9,T542,MWRY,core,120.226,33.7,8.88,1,10912.5,2.13,1.09,5.48,0.13,446,0.76,257,6.57,0.17
JAVA STATE 16-1,T482,MWRY,core,146.2057,3.9927,6.1,1,10118.5,1.29,0.48,3.35,0.07,439,260,5,3.83,0.13
TRC 1,D636,MWRY,core,111.53712,26.45286186,25.60581566,1,9926.5,2.9,1.87,4.8,0.64,450,166,12,6.67,0.28
Buffalo Gap Federal 35-1,T120,MWRY,core,125.7693818,43.55702053,9.00199601,1,11157.5,0.38,,,0.38,449,,,0,
JAVA STATE 16-1,T482,MWRY,core,146.2253,3.9927,6.1,1,10118.5,1.29,0.48,3.35,0.24,446,260,5,3.83,0.13
Buffalo Gap Federal 35-1,T120,MWRY,core,125.7690896,43.55702053,9.00199601,1,11157.5,0.38,,,0.41,451,,,0,
JAVA STATE 16-9,T482,MWRY,core,164.2583,11.1393,9.7,1,10200.5,3.36,3.29,16.77,0.16,436,499,5,20.06,0.16
JAVA STATE 16-9,T482,MWRY,core,164.2583,11.1393,9.7,1,10200.5,3.36,3.29,16.77,0.16,436,499,5,20.06,0.16
JAVA STATE 16-8,T482,MWRY,core,166.8371,7.2875,11.73,1,10196,2.47,2.43,11.85,0.14,438,480,6,14.27,0.17
EDUCATED GUESS 11-1H,S505,MWRY,core,267.6663,3.687,18.61,1,10614.7,1.48,0.11,5.22,0.3,440,353,20,5.33,0.02
TRC 1,D636,MWRY,core,127.8053146,26.45286186,22.7974065,1,9925.5,41.2,8.59,96.18,1.3,455,233,3,104.77,0.08
EDUCATED GUESS 11-1H,S505,MWRY,core,114.1287,7.6547,20.82,1,10699.4,1.86,0.21,4.84,0.17,444,299,9,5.05,0.04
TRC 1,D636,MWRY,core,127.8053146,26.45286186,22.7974065,1,9925.5,41.2,8.59,96.18,0.25,455,233,3,104.77,0.08
EDUCATED GUESS 11-1H,S505,MWRY,core,136.5606,16.4522,17.8,1,10647.6,2.14,0.29,6.31,0.17,442,294,8,6.56,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,138.9405,17.2271,19.67,1,10637.5,3.13,0.39,8.43,0.19,442,519,5,9.7,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,146.3353,13.1522,19.1,1,10643.1,2.4,0.28,8.83,0.23,441,368,10,9.11,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,162.8413,17.1207,19.06,1,10640.4,2.58,0.3,13.5,0.19,442,399,7,10.6,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,162.8413,17.1207,19.06,1,10640.4,2.58,0.3,10.3,0.19,442,399,7,10.6,0.03
TRC 1,D636,MWRY,core,90.88895072,29.42376703,19.98899734,1,9919,17.8,4.26,31.59,0.57,452,177,3,35.85,0.12
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12656,2.94,0.88,2.12,0.25,455,72,5,3,0.29
EDUCATED GUESS 11-1H,S505,MWRY,core,140.1864,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.2,441,353,9,8.34,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,114.1287,7.6547,20.72,1,10699.4,1.91,0.24,5.71,0.17,444,299,9,5.95,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,174.7944,10.9247,16.5,1,10663.7,1.14,0.14,3.9,0.21,445,342,25,4.04,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,114.1287,7.6547,20.72,1,10699.4,1.91,0.24,5.71,0.17,444,299,9,5.95,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,113.5525,13.1109,17.82,1,10617.8,2.2,0.18,7.36,0.27,443,380,12,8.54,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,157.6835,12.0433,19.21,1,10635.6,2.47,0.18,9.14,0.22,441,370,9,9.32,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4613,13.6618,18.21,1,10651.7,2.36,0.25,7.22,0.18,442,306,8,7.47,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,128.2361,10.5356,17.95,1,10666.7,2.13,0.2,7,0.3,442,329,9,7.2,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,165.6179,8.357,21.65,1,10716.5,2.68,0.27,8,0.18,441,299,7,8.27,0.03
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12660.5,2.94,0.88,2.12,0.14,460,72,5,3,0.29
EDUCATED GUESS 11-1H,S505,MWRY,core,174.7419,10.9247,16.5,1,10663.7,1.14,0.14,3.9,0.28,440,342,25,4.04,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,175.932,10.0063,18.57,1,10644.7,2.47,0.27,8.36,0.18,440,338,7,8.63,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,113.0567,7.5325,20.82,1,10695.5,1.86,0.21,4.84,0.22,445,260,12,5.05,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,141.5187,17.9478,19.65,1,10641.8,2.12,0.24,9.04,0.19,441,426,9,9.28,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,108.5955,7.6008,16.15,1,10544.3,2.13,0.15,5.54,0.33,444,260,15,5.69,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,123.5692,9.8762,17.31,1,10677.4,1.32,0.26,3.19,0.16,445,242,12,3.45,0.08
EDUCATED GUESS 11-1H,S505,MWRY,core,157.6835,12.0433,19.21,1,10635.6,2.47,0.18,9.14,0.22,441,370,9,9.32,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,145.9075,18.5325,18.93,1,10623.5,3.39,0.18,12.69,0.26,442,374,8,12.87,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,140.5272,17.8274,19.67,1,10649.7,4.13,0.37,21.42,0.21,440,519,5,21.79,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,130.1142,23.2934,20.46,1,10604.4,3.59,0.18,16.59,0.28,443,462,8,16.77,0.01
ap Federal 35-1,T120,MWRY,core,125.5769519,37.44866602,8.29666526,1,11247.8,1.05,0.76,1.15,0.33,452,126,29,1.91,0.41
EDUCATED GUESS 11-1H,S505,MWRY,core,138.1476,15.3588,20.25,1,10627.7,2.98,0.15,9.82,0.3,441,330,10,9.97,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,163.9319,10.4533,18.04,1,10655.6,1.76,0.22,4.76,0.19,443,270,11,4.98,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4612,12.9171,18.62,1,10652.6,2.29,0.22,7.14,0.22,441,312,10,7.36,0.03
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,23.47956132,1,12674,2.39,1.14,1.56,0.25,455,73,9,2.68,0.38
EDUCATED GUESS 11-1H,S505,MWRY,core,147.6676,12.1941,18.64,1,10653.5,1.93,0.25,5.79,0.23,441,300,12,6.04,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,146.3793,5.5717,15.37,1,10517.3,0.36,0.08,0.52,0.27,443,144,64,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,137.8498,15.9755,16.5,1,10621.4,1.14,0.14,3.9,0.31,441,342,12,4.04,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,146.4782,5.5717,15.37,1,10517.3,0.36,0.08,0.52,0.23,447,144,64,0.6,0.13
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,5.60797429,1,12658,2.94,0.88,2.12,0.15,463,72,5,3,0.29
EDUCATED GUESS 11-1H,S505,MWRY,core,160.2628,18.6295,19.45,1,10639.2,2.73,0.3,10.6,0.26,441,388,10,10.9,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,146.2783,8.0333,11.77,1,10715.5,0.91,0.09,2.15,0.27,443,236,16,2.24,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,137.8498,14.9795,18.54,1,10621.4,2.6,0.18,9.16,0.31,441,352,12,9.34,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,137.8495,18.5789,18.24,1,10622.7,2.13,0.14,7.83,0.31,442,362,11,7.97,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,137.8495,18.5789,18.73,1,10622.7,2.72,0.19,9.66,0.31,442,355,11,9.85,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,147.6676,11.4337,18.88,1,10653.5,1.81,0.22,4.64,0.23,441,256,10,4.86,0.05
EDUCATED GUESS 11-1H,S505,MWRY,core,158.4774,11.4337,18.88,1,10654.8,1.81,0.22,4.64,0.18,443,256,10,4.86,0.05
EDUCATED GUESS 11-1H,S505,MWRY,core,147.6676,12.1941,18.64,1,10653.5,1.93,0.25,5.79,0.23,441,300,12,6.04,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,106.2322,11.2565,20,1,10599.6,3.16,0.21,15.86,0.23,444,502,7,16.07,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,153.5188,14.1312,20.43,1,10628.6,3.07,0.16,10.39,0.27,441,338,9,10.55,0.02
Buffalo Gap Federal 35-1,T120,MWRY,core,120.226,33.7,8.68,1,10912.5,1.05,0.76,1.15,0.13,446,0.76,257,1.91,0.17
EDUCATED GUESS 11-1H,S505,MWRY,core,129.6184,21.6216,19.19,1,10607.8,2.49,0.19,7.98,0.3,444,380,12,8.17,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,157.6835,12.0433,19.21,1,10635.6,2.47,0.18,9.14,0.22,441,370,9,9.32,0.02
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,10.75772682,1,12658,2.85,1.27,2.29,0.15,463,80,6,3.56,0.36
EDUCATED GUESS 11-1H,S505,MWRY,core,125.8768354,9.3217,12.72,1,10518.5,1.33,0.09,3.41,0.45,0.08,256,17,3.5,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,140.5272,14.3603,18.23,1,10649.7,2.12,0.24,6.47,0.21,440,305,10,6.71,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,160.2628,18.5715,18.04,1,10639.2,1.76,0.22,4.76,0.26,441,270,11,4.98,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,156.984,15.5351,19.78,1,10626.8,4.45,0.17,17.86,0.31,440,401,7,18.03,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,153.5188,14.1312,20.43,1,10628.6,3.07,0.16,10.38,0.27,441,338,9,10.55,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,143.8251,17.4556,19.18,1,10624.7,2.57,0.18,10.67,0.23,441,413,6,10.65,0.01
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1872122,51.40554821,10,1,11161.5,2.89,0.99,5.15,0.25,448,178,9,6.14,0.16
Thunder Creek Federal,S934,MWRY,core,120.7479184,5.49967772,19.13957091,1,8364,2.57,1.7,6.58,0.28,440,256,11,8.28,0.21
Thunder Creek Fed C-3,S847,MWRY,core,205.5477953,380.2105963,17.02159091,1,8648,0.11,0.03,0.09,0.2,437,82,182,0.12,0.25
Buffalo Gap Federal 35-1,T120,MWRY,core,199.1262023,19.63277575,9.9001996,1,11183.9,1.13,0.73,1.6,0.1,451,142,9,2.33,0.31
Thunder Creek Fed C-3,S847,MWRY,core,205.5477953,380.2105963,17.02159091,1,8648,0.11,0.03,0.09,0.2,437,82,182,0.12,0.25
Thunder Creek Federal,S934,MWRY,core,147.8658,12.6851,19.27,1,10634.6,2.87,0.19,8.87,0.19,442,433,7,8.12,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4612,12.9171,19.65,1,10652.6,2.12,0.24,9.04,0.22,441,312,10,9.28,0.03
Schuster Flats 14-27-47-9,T542,MWRY,core,120.226,33.7,8.88,1,10912.5,2.13,1.09,5.48,0.13,446,0.76,257,6.57,0.17
EDUCATED GUESS 11-1H,S505,MWRY,core,136.4612,71.1356,15.57,1,10655.6,0.68,0.11,1.22,0.22,441,179,31,1.33,0.08
EDUCATED GUESS 11-1H,S505,MWRY,core,211.7336,4.9132,20.06,1,10597.6,2.47,0.18,10.53,0.26,443,426,11,10.71,0.02
Thunder Creek Fed C-3,S847,MWRY,core,172.9786505,367.3838183,11.57914606,1,8644,0.54,0.07,0.52,0.21,439,97,39,0.59,0.12
Thunder Creek Fed C-3,S847,MWRY,core,137.500998,352.0353394,10.80272061,1,8637,3.11,1.31,8.36,0.29,440,301,9,10.67,0.12
Thunder Creek Fed C-3,S847,MWRY,core,205.5477953,380.2105963,17.02159091,1,8648,0.11,0.03,0.09,0.2,437,82,182,0.12,0.25
Buffalo Gap Federal 35-1,T120,MWRY,core,136.3566233,7.95712327,7.648923636,1,9227,2.89,2.73,5.15,0.2,441,235,7,6.14,0.29
Buffalo Gap Federal 35-1,T120,MWRY,core,199.1262023,19.63277575,9.9001996,1,11183.9,1.13,0.73,1.6,0.15,451,142,9,2.33,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,161.0574078,30.06715732,9.500998,1,11199,1.77,1.67,1.98,0.38,449,112,19,3.65,0.46
Buffalo Gap Federal 35-1,T120,MWRY,core,130.1952544,23.63004797,8.7996089,1,11074.7,1.68,0.66,2.49,0.11,452,148,7,3.15,0.21
Buffalo Gap Federal 35-1,T120,MWRY,core,161.0574078,30.06715732,9.500998,1,11199,1.77,1.67,1.98,0.38,449,112,19,3.65,0.46
Buffalo Gap Federal 35-1,T120,MWRY,core,157.8852008,43.55702053,7.70459082,1,11223.3,2.61,2.29,5.48,0.47,451,210,5,7.77,0.29
Buffalo Gap Federal 35-1,T120,MWRY,core,154.3344544,26.35167182,8.40319361,1,11336,1.84,1.6,2.21,0.28,450,120,15,3.81,0.42
EDUCATED GUESS 11-1H,S505,MWRY,core,161.0774078,7.2588,15.57,1,10501.2,0.68,0.11,1.22,0.37,452,199,31,1.33,0.08
Schuster Flats 14-27-47-9,T542,MWRY,core,143.397,39.845,7.808,1,10966.5,1.93,1.2,3.68,0.09,446,0.77,191,4.88,0.25
Buffalo Gap Federal 35-1,T120,MWRY,core,166.057,21.73,10.288,1,10883.1,1.65,0.87,2.49,0.08,449,0.78,198,3.15,0.21
Schuster Flats 14-27-47-9,T542,MWRY,core,166.057,21.73,10.288,1,10883.1,1.65,0.87,3.27,0.08,449,0.78,198,4.14,0.21
Buffalo Gap Federal 35-1,T120,MWRY,core,157.0695711,30.06715732,9.500998,1,11343.2,0.55,,,0.33,450,112,19,0,0.46
Thunder Creek Fed C-3,S847,MWRY,core,147.6676,12.1941,17.62,1,10653.5,0.11,0.03,0.09,0.23,441,300,12,0.12,0.04
Buffalo Gap Federal 35-1,T120,MWRY,core,141.5187,17.9478,19.65,1,10641.8,2.12,0.24,7.17,0.19,441,426,9,6.37,0.03
Schuster Flats 14-27-47-9,T542,MWRY,core,119.804,21.629,12.599,1,10820.5,1.1,0.46,2.16,0.36,445,0.75,196,2.62,0.18
EDUCATED GUESS 11-1H,S505,MWRY,core,150.7421,13.2941,18.69,1,10619.5,2.63,0.18,9.93,0.31,442,378,12,10.11,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,138.9405,17.2271,19.67,1,10637.5,4.13,0.37,21.42,0.19,442,519,5,21.79,0.02
Schuster Flats 14-27-47-9,T542,MWRY,core,119.804,21.629,12.598,1,10820.5,1.1,0.46,2.16,0.36,445,0.75,196,2.62,0.18
DILT 14-26,T322,MWRY,core,138.9803993,38.25781269,10.11964108,1,11154.6,2.39,1.12,1.56,0.23,449,149,34,2.68,0.38
Thunder Creek Fed C-3,S847,MWRY,core,172.9786505,367.3838183,11.57914606,1,8644,0.54,0.07,0.52,0.21,439,97,39,0.59,0.12
Buffalo Gap Federal 35-1,T120,MWRY,core,154.3341,26.35167182,8.40319361,1,11336,1.84,1.6,2.21,0.27,443,120,15,3.81,0.42
Thunder Creek Fed C-3,S847,MWRY,core,205.5477953,380.2105963,17.02159091,1,8648,0.11,0.03,0.09,0.2,437,82,182,0.12,0.25
Thunder Creek Federal,S934,MWRY,core,125.301907,79.96103783,15.60581563,1,9889.7,5.78,1.38,11.77,0.07,444,180,2,13.15,0.25
Buffalo Gap Federal 35-1,T120,MWRY,core,113.135171,51.70649342,7.10559882,1,11170,1.5,1.84,2.26,0.44,450,175,24,4.1,0.48
Buffalo Gap Federal 35-1,T120,MWRY,core,129.9387518,34.87214709,7.40518962,1,11295.5,1.46,1.29,2.07,,,142,21,3.36,0.38
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1872122,51.40554821,10,1,11161.5,2.89,0.99,5.15,0.25,448,178,9,6.14,0.16
Thunder Creek Fed C-3,S847,MWRY,core,180.2958871,342.0071598,14.66529394,1,8645,0.45,0.07,0.37,0.12,442,82,27,0.44,0.16
Buffalo Gap Federal 35-1,T120,MWRY,core,156.480199,20,6.8030585,1,11210.5,1.77,1.77,2.6,0.31,451,147,18,4.37,0.41
Buffalo Gap Federal 35-1,T120,MWRY,core,156.480199,20,6.8030585,1,11210.5,1.77,1.77,2.6,0.31,451,147,18,4.37,0.41
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1872122,51.40554821,10,1,11161.5,2.89,0.99,5.15,0.25,448,178,9,6.14,0.16
EDUCATED GUESS 11-1H,S505,MWRY,core,154.5778968,22.35217218,6.71692538,1,11270.1,2.51,1.4,8.2,0.37,452,149,25,7.33,0.38
Thunder Creek Fed C-3,S847,MWRY,core,180.2958871,342.0071598,14.66529394,1,8645,0.45,0.07,0.37,0.12,442,82,27,0.44,0.16
Buffalo Gap Federal 35-1,T120,MWRY,core,121.0769759,68.21043078,9.9001996,1,11179,1.67,1.03,2.76,0.39,443,165,11,3.79,0.27
Buffalo Gap Federal 35-1,T120,MWRY,core,154.330387,21.94175919,7.80721002,1,11281.5,1.73,1.11,2.48,0.37,451,142,21,3.57,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,154.5778968,22.35217218,6.71692538,1,11270.1,1.51,1.4,2.25,0.37,452,149,25,3.65,0.38
Buffalo Gap Federal 35-1,T120,MWRY,core,182.0997641,18.57106614,8.60279441,1,11085,1.28,0.9,1.47,0.25,455,115,20,2.37,0.38
Buffalo Gap Federal 35-1,T120,MWRY,core,182.0997641,18.57106614,8.60279441,1,11085,1.28,0.9,1.47,0.25,455,115,20,2.37,0.38
Buffalo Gap Federal 35-1,T120,MWRY,core,199.1262023,19.63277575,9.9001996,1,11183.9,1.13,0.73,1.6,0.1,451,142,9,2.33,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,135.6946753,19.63277575,9.9001996,1,11189.9,1.13,0.73,1.6,0.21,456,142,9,2.33,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,161.0574078,30.06715732,9.500998,1,11199,1.77,1.67,1.98,0.38,449,112,19,3.65,0.46
Buffalo Gap Federal 35-1,T120,MWRY,core,130.1952544,23.63004797,8.7996089,1,11074.7,1.68,0.66,2.49,0.11,452,148,7,3.15,0.21
Buffalo Gap Federal 35-1,T120,MWRY,core,206.8546852,14.6704558,8.40823326,1,11320,2.61,1.58,4.43,0.22,446,170,8,6.01,0.26
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1149175,38.25781269,9.4011976,1,11263.2,0.68,0.58,1.01,0.46,451,149,34,1.59,0.36
Buffalo Gap Federal 35-1,T120,MWRY,core,126.3986413,68.21043078,9.9001996,1,11179,1.67,1.03,2.76,0.19,452,165,11,3.79,0.27
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1149175,38.25781269,7.60479042,1,11263.2,1.55,1.9,2.56,0.47,451,165,30,4.46,0.43
Buffalo Gap Federal 35-1,T120,MWRY,core,182.0997641,18.57106614,8.60279441,1,11085,1.28,0.9,1.47,0.25,455,115,20,2.37,0.38
Buffalo Gap Federal 35-1,T120,MWRY,core,201.7631892,19.63277575,8.10379242,1,11348.1,1.98,2.25,2.82,0.37,449,142,19,5.07,0.44
Buffalo Gap Federal 35-1,T120,MWRY,core,136.4613,32.98631627,9.00199601,1,11111.6,1.3,1.06,1.66,0.18,442,128,22,2.72,0.39
Buffalo Gap Federal 35-1,T120,MWRY,core,139.6187,30.06715732,8.29381702,1,11089.9,1.05,0.76,1.15,0.15,444,110,20,1.91,0.4
Buffalo Gap Federal 35-1,T120,MWRY,core,122.6840372,3.5530934,7.70459082,1,9551,1.79,1.44,3.41,0.44,446,191,18,4.85,0.3
Buffalo Gap Federal 35-1,T120,MWRY,core,199.1262023,19.63277575,9.9001996,1,11183.9,1.13,0.73,1.6,0.1,451,142,9,2.33,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,150.7452184,30.06715732,9.500998,1,11343.2,1.77,1.67,1.98,0.28,440,112,19,3.65,0.46
Buffalo Gap Federal 35-1,T120,MWRY,core,161.570138,30.06715732,8.29381702,1,11199,1.05,0.76,1.15,0.23,441,110,20,1.91,0.4
Buffalo Gap Federal 35-1,T120,MWRY,core,138.7637949,28.97315504,7.10578842,1,11325.9,1.5,1.84,2.26,0.41,448,151,27,4.1,0.45
Buffalo Gap Federal 35-1,T120,MWRY,core,161.0574078,30.06715732,9.500998,1,11199,1.77,1.67,1.98,0.13,439,112,19,3.65,0.46
Buffalo Gap Federal 35-1,T120,MWRY,core,154.5778968,30.06715732,9.500998,1,11190.1,1.77,1.67,1.98,0.37,452,112,19,3.65,0.46
